,open,high,low,close,volume,value
2022-11-27 12:00:00,22706000.0,22750000.0,22692000.0,22719000.0,60.62136281,1376687374.05098
2022-11-27 13:00:00,22719000.0,22761000.0,22681000.0,22721000.0,121.01144252,2749991262.5507
2022-11-27 14:00:00,22739000.0,22760000.0,22699000.0,22703000.0,57.66556576,1310775614.11576
2022-11-27 15:00:00,22704000.0,22758000.0,22702000.0,22748000.0,74.16983107,1686748852.82261
2022-11-27 16:00:00,22748000.0,22758000.0,22725000.0,22751000.0,81.5788488,1854919057.27183
2022-11-27 17:00:00,22750000.0,22754000.0,22706000.0,22711000.0,104.89637493,2384716378.72669
2022-11-27 18:00:00,22717000.0,22735000.0,22680000.0,22725000.0,106.68069628,2422042561.12325
2022-11-27 19:00:00,22727000.0,22759000.0,22691000.0,22738000.0,130.62222773,2968652022.44777
2022-11-27 20:00:00,22738000.0,22773000.0,22712000.0,22747000.0,125.68542395,2859386520.79989
2022-11-27 21:00:00,22747000.0,22774000.0,22732000.0,22769000.0,142.48412266,3242241840.45065
2022-11-27 22:00:00,22769000.0,22769000.0,22700000.0,22707000.0,101.9348159,2317326572.44906
2022-11-27 23:00:00,22717000.0,22733000.0,22670000.0,22680000.0,89.10890926,2022703786.64191
2022-11-28 00:00:00,22684000.0,22737000.0,22671000.0,22711000.0,50.42850345,1144719773.38071
2022-11-28 01:00:00,22729000.0,22739000.0,22688000.0,22690000.0,63.00150425,1431094248.94627
2022-11-28 02:00:00,22690000.0,22715000.0,22659000.0,22666000.0,35.59078998,807103548.31911
2022-11-28 03:00:00,22666000.0,22721000.0,22660000.0,22705000.0,22.0696359,500546709.59808
2022-11-28 04:00:00,22721000.0,22736000.0,22704000.0,22720000.0,19.94067918,453027319.98321
2022-11-28 05:00:00,22736000.0,22743000.0,22689000.0,22695000.0,31.40668666,713560398.84998
2022-11-28 06:00:00,22689000.0,22743000.0,22688000.0,22706000.0,35.74286209,812091495.58238
2022-11-28 07:00:00,22706000.0,22745000.0,22701000.0,22730000.0,45.58380486,1035891566.70743
2022-11-28 08:00:00,22725000.0,22730000.0,22605000.0,22646000.0,226.74132813,5135394799.67505
2022-11-28 09:00:00,22661000.0,22690000.0,22638000.0,22662000.0,183.19641172,4152746680.80068
2022-11-28 10:00:00,22662000.0,22685000.0,22299000.0,22416000.0,776.99119946,17430677002.11245
2022-11-28 11:00:00,22416000.0,22465000.0,22304000.0,22386000.0,427.11662608,9564536486.82316
2022-11-28 12:00:00,22386000.0,22429000.0,22381000.0,22415000.0,151.60848505,3397660121.55578
2022-11-28 13:00:00,22415000.0,22465000.0,22381000.0,22395000.0,140.08453607,3139924098.31153
2022-11-28 14:00:00,22395000.0,22428000.0,22330000.0,22367000.0,144.68230041,3237494257.91461
2022-11-28 15:00:00,22371000.0,22457000.0,22356000.0,22423000.0,116.73195011,2616820811.44392
2022-11-28 16:00:00,22423000.0,22444000.0,22400000.0,22410000.0,90.36674787,2025720952.32298
2022-11-28 17:00:00,22420000.0,22458000.0,22399000.0,22404000.0,100.59630173,2255040345.30882
2022-11-28 18:00:00,22419000.0,22425000.0,22374000.0,22385000.0,86.99367045,1948111158.91811
2022-11-28 19:00:00,22386000.0,22414000.0,22363000.0,22363000.0,90.26725749,2020963711.29058
2022-11-28 20:00:00,22370000.0,22411000.0,22359000.0,22403000.0,75.2229029,1684205746.28289
2022-11-28 21:00:00,22395000.0,22432000.0,22373000.0,22376000.0,96.48320047,2161170082.31336
2022-11-28 22:00:00,22382000.0,22421000.0,22373000.0,22401000.0,93.62047486,2096481700.17555
2022-11-28 23:00:00,22415000.0,22490000.0,22383000.0,22390000.0,110.24765739,2471374385.31553
2022-11-29 00:00:00,22409000.0,22439000.0,22316000.0,22316000.0,150.82711538,3372014554.65091
2022-11-29 01:00:00,22315000.0,22591000.0,22217000.0,22516000.0,284.56454465,6359396016.78007
2022-11-29 02:00:00,22517000.0,22588000.0,22331000.0,22342000.0,143.84835718,3229913851.37976
2022-11-29 03:00:00,22352000.0,22367000.0,22275000.0,22303000.0,61.36840122,1369024222.93046
2022-11-29 04:00:00,22319000.0,22407000.0,22271000.0,22374000.0,38.84233483,867725913.31331
2022-11-29 05:00:00,22375000.0,22428000.0,22358000.0,22420000.0,34.01292426,761276682.51358
2022-11-29 06:00:00,22416000.0,22417000.0,22316000.0,22338000.0,41.34020391,924049790.59952
2022-11-29 07:00:00,22338000.0,22350000.0,22317000.0,22332000.0,61.13050387,1365023935.89871
2022-11-29 08:00:00,22332000.0,22358000.0,22318000.0,22339000.0,78.94646314,1763125343.53688
2022-11-29 09:00:00,22329000.0,22355000.0,22155000.0,22288000.0,241.70029315,5376308512.72582
2022-11-29 10:00:00,22288000.0,22407000.0,22266000.0,22350000.0,154.99081318,3460670350.72205
2022-11-29 11:00:00,22350000.0,22396000.0,22315000.0,22340000.0,148.96238244,3330363897.75902
2022-11-29 12:00:00,22340000.0,22383000.0,22315000.0,22319000.0,108.75711677,2429376352.36008
2022-11-29 13:00:00,22336000.0,22522000.0,22319000.0,22502000.0,223.24218691,5010573196.59537
2022-11-29 14:00:00,22503000.0,22587000.0,22475000.0,22504000.0,219.41775459,4943040252.8543
2022-11-29 15:00:00,22504000.0,22547000.0,22486000.0,22511000.0,126.26073714,2842943151.3311
2022-11-29 16:00:00,22511000.0,22537000.0,22465000.0,22490000.0,68.12039842,1532961628.80872
2022-11-29 17:00:00,22487000.0,22580000.0,22419000.0,22531000.0,141.78546913,3190215170.39113
2022-11-29 18:00:00,22533000.0,22576000.0,22510000.0,22565000.0,93.73879197,2112237705.68894
2022-11-29 19:00:00,22565000.0,22590000.0,22534000.0,22565000.0,91.41819449,2063400816.08971
2022-11-29 20:00:00,22569000.0,22617000.0,22548000.0,22550000.0,104.57974678,2361818623.95394
2022-11-29 21:00:00,22548000.0,22574000.0,22510000.0,22549000.0,100.63763281,2268791707.68649
2022-11-29 22:00:00,22549000.0,22549000.0,22427000.0,22461000.0,107.76679738,2421960361.13826
